title,original_title,overview,release_date
The Bad Guys,The Bad Guys,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",2022-03-17
Disenchanted,Disenchanted,"Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.",2022-11-18
Resurrection,Resurrection,"A woman's carefully constructed life is upended when an unwelcome shadow from her past returns, forcing her to confront the monster she's evaded for two decades.",2022-07-29
The House,The House,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",2022-01-14
Seven Days,Seven Days,"Seven Days is a glimpse into the lives of Seven Women, in a collection of shorts all played by the same actress, Ellyn Jameson.  There are infinite possibilities of circumstances one can be born into, and what persons can become.  Seven Days is an anthology of seven women, all played by one actress, and each woman refuses simple definition.  There is no one side too strong or weak, good or bad, free or bound. A homeless teacher, wealthy housewife, single mother, social activist, polyamorist, sex worker and same-sex partner.  There are infinite possibilities before, and after.  These are just Seven Days.",2022-04-01
Inside Life,Inside Life,"A new Nollywood movie, ‘Inside Life’, premiered at the Silverbird Galleria, Victoria Island, Lagos, last week.  It was produced by Chuks Enete and directed by Tope Adebayo Salami. The movie is the debut release of a new Nigerian film production house, Sillo studios.  Inspired by actual events, the movie revolves around the faltering Nigerian Judicial system and its effect on a man’s life.  In attendance at the premiere were actors and comic stars; Wole Ojo and Nedu Wazobia, and others. Also, the victim of the unfair Judicial system Lanre Olorunnisola, whose story inspired the film, was present at the event.",2022-09-09
Erzulie,Erzulie,A reunion between 4 friends quickly goes awry when they find themselves face to face with Erzulie the swamp mermaid goddess.,2022-06-14
Luck,Luck,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",2022-08-05
Rhinegold,Rheingold,"Xatar’s way from the ghetto to the top of the charts is as dramatic as it is daring: Fatih Akin’s new film is based on the autobiographical novel »Alles oder Nix« (»All or Nothing«) of the probably most authentic exponent of German gangsta rap. From the hell of an Iraqi jail, Giwar Hajabi (Emilio Sakraya) emigrated to Germany as a young boy with his family in the mid-1980s and has to start right at the bottom. There are opportunities, but far more obstacles. Giwar’s rise from petty criminal to major dealer is swift. Until one shipment goes missing. In order to clear his debts with the cartel, he plans a legendary gold heist. But just as everything goes wrong, another door opens for Giwar thanks to his passion for music …",2022-10-27
Fistful of Vengeance,Fistful of Vengeance,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,2022-02-17
Sick,Sick,"While quarantining at her family's lake house during the pandemic, Parker and her best friend are threatened by an unexpected visitor.",2022-09-11
Samaritan,Samaritan,"Thirteen year old Sam Cleary suspects that his mysteriously reclusive neighbor Mr. Smith is actually the legendary vigilante Samaritan, who was reported dead 25 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",2022-08-25
Firestarter,Firestarter,"For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans.",2022-05-12
Journey with Tarsilinha,Tarsilinha,Tarsilinha sets off on a journey to save her mother’s memory. The only way to do this is to find her mom's stolen keepsakes and overcome her own fears.,2022-03-17
The Perfumier,Der Parfumeur,"To regain her sense of smell and get back her lover, a detective joins forces with a perfume maker who uses deadly methods to create the perfect scent.",2022-09-21
Welcome to the Occult Forest: The Movie,オカルトの森へようこそ THE MOVIE,"A washed up horror film director named Kôji Kuroishi and his assistant director named Miho Ichikawa visit a house deep in wooded mountains to film a movie. Once arrived, they meet a mentally deranged woman named Maria Miyoshi who proclaims she's a fan of Kuroishi's works. The woman pleads that she's experienced the same things as documented in Kuroishi's works. Unexplainable phenomena quickly begin to happen, so Kuroishi sets out to document these experiences and turn them into a film, together with the help of a 'super volunteer' named Shôhei Uno and a handsome psychic medium named Nanashi.",2022-08-27
The Witch: Part 2. The Other One,마녀(魔女) Part2. The Other One,"A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her.",2022-06-15
The Son,The Son,"A successful lawyer, with a new wife and infant, agrees to care for his teenage son from a previous marriage after his ex-wife becomes concerned about the boy's wayward behavior.",2022-11-10
Thirteen Lives,Thirteen Lives,"Based on the true nail-biting mission that captivated the world. Twelve boys and the coach of a Thai soccer team explore the Tham Luang cave when an unexpected rainstorm traps them in a chamber inside the mountain. Entombed behind a maze of flooded cave tunnels, they face impossible odds. A team of world-class divers navigate through miles of dangerous cave networks to discover that finding the boys is only the beginning.",2022-07-18
